analysis_route,metric,setting,outcome_scope,discipline,observations,papers,source_rows
descriptive_only,burden,match,injuryLocation_abdomen,Football,1,1,1
descriptive_only,burden,match,injuryLocation_ankle,Football,1,1,1
descriptive_only,burden,match,injuryLocation_foot,Football,1,1,1
descriptive_only,burden,match,injuryLocation_hand,Football,1,1,1
descriptive_only,burden,match,injuryLocation_head,Football,1,1,1
descriptive_only,burden,match,injuryLocation_hip,Football,1,1,1
descriptive_only,burden,match,injuryLocation_knee,Football,1,1,1
descriptive_only,burden,match,injuryLocation_lower_leg,Football,1,1,1
descriptive_only,burden,match,injuryLocation_lumbosacral,Football,1,1,1
descriptive_only,burden,match,injuryLocation_neck,Football,1,1,1
descriptive_only,burden,match,injuryLocation_shoulder,Football,1,1,1
descriptive_only,burden,match,injuryLocation_thigh,Football,1,1,1
descriptive_only,burden,match,injuryLocation_upper_arm,Football,1,1,1
descriptive_only,burden,match,injuryTissueType_bone_fracture,Football,1,1,1
descriptive_only,burden,match,injuryTissueType_cartilage_injury,Football,1,1,1
descriptive_only,burden,match,injuryTissueType_concussion,Football,1,1,1
descriptive_only,burden,match,injuryTissueType_ligament_joint_capsule,Football,1,1,1
descriptive_only,burden,match,injuryTissueType_muscle_injury,Football,1,1,1
descriptive_only,burden,match,injuryTissueType_superficial_contusion,Football,1,1,1
descriptive_only,burden,match,injuryTissueType_tendon_injury,Football,1,1,1
descriptive_only,burden,overall,all_injuries,Football,17,6,17
descriptive_only,burden,overall,groin,Football,1,1,1
descriptive_only,burden,overall,injuryLocation_abdomen,Football,4,4,4
descriptive_only,burden,overall,injuryLocation_ankle,Football,11,11,11
descriptive_only,burden,overall,injuryLocation_chest,Football,1,1,1
descriptive_only,burden,overall,injuryLocation_elbow,Football,1,1,1
descriptive_only,burden,overall,injuryLocation_foot,Football,11,11,11
descriptive_only,burden,overall,injuryLocation_forearm,Football,1,1,1
descriptive_only,burden,overall,injuryLocation_groin,Football,4,4,4
descriptive_only,burden,overall,injuryLocation_hand,Football,7,7,7
descriptive_only,burden,overall,injuryLocation_head,Football,8,8,8
descriptive_only,burden,overall,injuryLocation_head_neck_overall,Football,3,3,3
descriptive_only,burden,overall,injuryLocation_hip,Football,4,4,4
descriptive_only,burden,overall,injuryLocation_knee,Football,11,11,11
descriptive_only,burden,overall,injuryLocation_lower_leg,Football,11,11,11
descriptive_only,burden,overall,injuryLocation_lower_limb_overall,Football,3,3,3
descriptive_only,burden,overall,injuryLocation_lumbosacral,Football,7,7,7
descriptive_only,burden,overall,injuryLocation_neck,Football,4,4,4
descriptive_only,burden,overall,injuryLocation_position_attacker,Football,1,1,1
descriptive_only,burden,overall,injuryLocation_position_defender,Football,1,1,1
descriptive_only,burden,overall,injuryLocation_position_goalkeeper,Football,1,1,1
