sourceDataRow,paper_id,source_study_id,paper_title,paper_doi,cohort_family,population_label,setting,outcome_scope,time_loss_definition,time_loss_threshold,sex,age_category,playing_level,geography,discipline,source_incidence_definition,source_burden_definition,source_exposure_unit,exposure_construction,source_notes,source_evidence,rate_sd,observation_id,injury_count,exposure_player_hours,rate_per_1000_player_hours,reported_rate_per_1000,calculated_rate_per_1000,ci95_lower,ci95_upper,source_count_field,source_rate_field,injury_location,tissue_type,injury_diagnosis,onset,player_position,laterality,outcome_target,metric,incidence_per_1000_player_hours,burden_days_per_1000_player_hours,source_context_row,source_context_csv,analysis_route,primary_model_eligible,sensitivity_definition,sensitivity_estimated_exposure,sensitivity_rounded_reconstruction,scope_verification,overlap_verification,metric_alignment_verification,source_parent_id,duplicate_of,arithmetic_method,inferred_exposure_player_hours,inferred_injury_count_estimate,rounding_assumption,inference_usable_for_count_likelihood,meanAge,ageRange,sampleSizePlayers,numberOfTeams,observationDuration,dataCollectionPeriod,numberOfSeasons,studyDesign,trialArm,randomisedControlledTrial,geneticGroup,injuryDefinition,injuryDefinitionDescription,exposureDefinitionDescription,mechanismReportingDescription,recurrenceDefinitionDescription,severityDefinitionDescription,source_context_injuryMostCommonLocation,source_context_injuryMostCommonType,source_context_injuryMostCommonDiagnosis,population_role,population_partition_evidence,outcome_coverage_restriction,exposure_method_evidence,exposure_method_categories,exposure_method_details,standard_90_minute_pitch_formula,exposure_method_adjudication,exposure_method_sensitivity_only,historical_source_family_role,historical_source_family_evidence,descriptor_status,days_lost,candidate_injury_count,candidate_source_count_field,metric_correction_reason,metric_correction_evidence,release_context_csv,release_context_join_key,candidate_outcome_scope,candidate_injury_location,candidate_tissue_type,candidate_injury_diagnosis,candidate_review_flags,reported_rate_alignment,reported_time_loss_rate_per_1000,calculated_crude_count_rate_per_1000,published_rate_method,prefit_gate,alignment_decision,alignment_reason,alignment_evidence,threshold_analysis_route,overlap_selection,overlap_family,overlap_reason,overlap_evidence,selected_parent_id,sampling_information_route,reverse_exposure_supported,reverse_exposure_evidence,analysis_target_key,main_scientific_input_selected,model_readiness
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryLocation_ankle,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryLocation_ankle_incidence,,4:incidence:overall:injuryLocation_ankle_incidence,,198071,1.27,1.27,,,,,injuryLocation_ankle_incidence,ankle,,,,,,injuryLocation_ankle,incidence,1.27,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,251.55017,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryLocation_ankle,ankle,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_ankle_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryLocation_ankle|ankle||||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryLocation_foot,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryLocation_foot_incidence,,4:incidence:overall:injuryLocation_foot_incidence,,198071,0.55,0.55,,,,,injuryLocation_foot_incidence,foot,,,,,,injuryLocation_foot,incidence,0.55,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,108.93905,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryLocation_foot,foot,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.",analysis master: source CSV: injuryLocation_foot_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryLocation_foot|foot||||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryLocation_hip,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryLocation_hip_incidence,,4:incidence:overall:injuryLocation_hip_incidence,,198071,0.82,0.82,,,,,injuryLocation_hip_incidence,hip,,,,,,injuryLocation_hip,incidence,0.82,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,162.41822,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryLocation_hip,hip,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_hip_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryLocation_hip|hip||||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryLocation_knee,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryLocation_knee_incidence,,4:incidence:overall:injuryLocation_knee_incidence,,198071,1.31,1.31,,,,,injuryLocation_knee_incidence,knee,,,,,,injuryLocation_knee,incidence,1.31,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,259.47301,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryLocation_knee,knee,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_knee_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryLocation_knee|knee||||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryLocation_lower_leg,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryLocation_lower_leg_incidence,,4:incidence:overall:injuryLocation_lower_leg_incidence,,198071,0.67,0.67,,,,,injuryLocation_lower_leg_incidence,lower leg,,,,,,injuryLocation_lower_leg,incidence,0.67,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,132.70757,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryLocation_lower_leg,lower leg,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_lower_leg_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryLocation_lower_leg|lower leg||||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryLocation_thigh,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryLocation_thigh_incidence,,4:incidence:overall:injuryLocation_thigh_incidence,,198071,1.93,1.93,,,,,injuryLocation_thigh_incidence,thigh,,,,,,injuryLocation_thigh,incidence,1.93,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,382.27703,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryLocation_thigh,thigh,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_thigh_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryLocation_thigh|thigh||||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryTissueType_bone_fracture,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryTissueType_bone_fracture_incidence,,4:incidence:overall:injuryTissueType_bone_fracture_incidence,,198071,0.23,0.23,,,,,injuryTissueType_bone_fracture_incidence,,bone fracture,,,,,injuryTissueType_bone_fracture,incidence,0.23,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,45.55633,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryTissueType_bone_fracture,,bone fracture,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_bone_fracture_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryTissueType_bone_fracture||bone fracture|||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryTissueType_concussion,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryTissueType_concussion_incidence,,4:incidence:overall:injuryTissueType_concussion_incidence,,198071,0.13,0.13,,,,,injuryTissueType_concussion_incidence,,concussion,Concussion,,,,injuryTissueType_concussion,incidence,0.13,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,25.74923,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryTissueType_concussion,,concussion,Concussion,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_concussion_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryTissueType_concussion||concussion|Concussion||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryTissueType_ligament_joint_capsule,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryTissueType_ligament_joint_capsule_incidence,,4:incidence:overall:injuryTissueType_ligament_joint_capsule_incidence,,198071,1.58,1.58,,,,,injuryTissueType_ligament_joint_capsule_incidence,,ligament joint capsule,,,,,injuryTissueType_ligament_joint_capsule,incidence,1.58,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,312.95218,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryTissueType_ligament_joint_capsule,,ligament joint capsule,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_ligament_joint_capsule_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryTissueType_ligament_joint_capsule||ligament joint capsule|||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryTissueType_muscle_injury,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryTissueType_muscle_injury_incidence,,4:incidence:overall:injuryTissueType_muscle_injury_incidence,,198071,1.98,1.98,,,,,injuryTissueType_muscle_injury_incidence,,muscle injury,,,,,injuryTissueType_muscle_injury,incidence,1.98,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,392.18058,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryTissueType_muscle_injury,,muscle injury,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_muscle_injury_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryTissueType_muscle_injury||muscle injury|||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,injuryTissueType_superficial_contusion,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,source CSV: injuryTissueType_superficial_contusion_incidence,,4:incidence:overall:injuryTissueType_superficial_contusion_incidence,,198071,1.58,1.58,,,,,injuryTissueType_superficial_contusion_incidence,,superficial contusion,,,,,injuryTissueType_superficial_contusion,incidence,1.58,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,descriptive_only,false,true,not_yet_classified,true,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,approximate_count_from_reported_rate,,312.95218,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope_from_sole_time_loss_definition,,,,,,analysis-source-context.csv,sourceDataRow,injuryTissueType_superficial_contusion,,superficial contusion,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_superficial_contusion_incidence,sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,descriptive_rate_without_usable_sampling_information,false,,incidence|overall|injuryTissueType_superficial_contusion||superficial contusion|||,false,likelihood_and_target_selection_pending
