sourceDataRow,paper_id,source_study_id,paper_title,paper_doi,cohort_family,population_label,setting,outcome_scope,time_loss_definition,time_loss_threshold,sex,age_category,playing_level,geography,discipline,source_incidence_definition,source_burden_definition,source_exposure_unit,exposure_construction,source_notes,source_evidence,rate_sd,observation_id,injury_count,exposure_player_hours,rate_per_1000_player_hours,reported_rate_per_1000,calculated_rate_per_1000,ci95_lower,ci95_upper,source_count_field,source_rate_field,injury_location,tissue_type,injury_diagnosis,onset,player_position,laterality,outcome_target,metric,incidence_per_1000_player_hours,burden_days_per_1000_player_hours,source_context_row,source_context_csv,analysis_route,primary_model_eligible,sensitivity_definition,sensitivity_estimated_exposure,sensitivity_rounded_reconstruction,scope_verification,overlap_verification,metric_alignment_verification,source_parent_id,duplicate_of,arithmetic_method,inferred_exposure_player_hours,inferred_injury_count_estimate,rounding_assumption,inference_usable_for_count_likelihood,meanAge,ageRange,sampleSizePlayers,numberOfTeams,observationDuration,dataCollectionPeriod,numberOfSeasons,studyDesign,trialArm,randomisedControlledTrial,geneticGroup,injuryDefinition,injuryDefinitionDescription,exposureDefinitionDescription,mechanismReportingDescription,recurrenceDefinitionDescription,severityDefinitionDescription,source_context_injuryMostCommonLocation,source_context_injuryMostCommonType,source_context_injuryMostCommonDiagnosis,population_role,population_partition_evidence,outcome_coverage_restriction,exposure_method_evidence,exposure_method_categories,exposure_method_details,standard_90_minute_pitch_formula,exposure_method_adjudication,exposure_method_sensitivity_only,historical_source_family_role,historical_source_family_evidence,descriptor_status,days_lost,candidate_injury_count,candidate_source_count_field,metric_correction_reason,metric_correction_evidence,release_context_csv,release_context_join_key,candidate_outcome_scope,candidate_injury_location,candidate_tissue_type,candidate_injury_diagnosis,candidate_review_flags,reported_rate_alignment,reported_time_loss_rate_per_1000,calculated_crude_count_rate_per_1000,published_rate_method,prefit_gate,alignment_decision,alignment_reason,alignment_evidence,threshold_analysis_route,overlap_selection,overlap_family,overlap_reason,overlap_evidence,selected_parent_id,sampling_information_route,reverse_exposure_supported,reverse_exposure_evidence,analysis_target_key,main_scientific_input_selected,model_readiness
1,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 1,overall,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,1:incidence:overall:main,236,237,995.7805907173,,995.7805907173,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries_scope_review,incidence,995.7805907173,,1,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,true,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S005:multiple_rows,,count_divided_by_hours,,,,false,,,180,12,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,slight (1-3 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,hold_exposure_construction_unresolved,,236,injuryTotalCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",sensitivity,hold,S005,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|overall|all_injuries_scope_review|||||,false,likelihood_and_target_selection_pending
1,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 1,match,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,1:incidence:match:main,137,55,2490.9090909091,,2490.9090909091,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries_scope_review,incidence,2490.9090909091,,1,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,true,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S005:multiple_rows,,count_divided_by_hours,,,,false,,,180,12,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,slight (1-3 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,hold_exposure_construction_unresolved,,137,injuryMatchCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",sensitivity,hold,S005,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|match|all_injuries_scope_review|||||,false,likelihood_and_target_selection_pending
1,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 1,training,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,1:incidence:training:main,99,182,543.956043956,,543.956043956,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries_scope_review,incidence,543.956043956,,1,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,true,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S005:multiple_rows,,count_divided_by_hours,,,,false,,,180,12,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,slight (1-3 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,hold_exposure_construction_unresolved,,99,injuryTrainingCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",sensitivity,hold,S005,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|training|all_injuries_scope_review|||||,false,likelihood_and_target_selection_pending
2,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 2,overall,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,2:incidence:overall:main,715,301,2375.415282392,,2375.415282392,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries_scope_review,incidence,2375.415282392,,2,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,true,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S005:multiple_rows,,count_divided_by_hours,,,,false,,,310,14,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,minor (4-7 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,hold_exposure_construction_unresolved,,715,injuryTotalCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",sensitivity,hold,S005,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|overall|all_injuries_scope_review|||||,false,likelihood_and_target_selection_pending
2,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 2,match,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,2:incidence:match:main,294,37,7945.9459459459,,7945.9459459459,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries_scope_review,incidence,7945.9459459459,,2,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,true,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S005:multiple_rows,,count_divided_by_hours,,,,false,,,310,14,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,minor (4-7 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,hold_exposure_construction_unresolved,,294,injuryMatchCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",sensitivity,hold,S005,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|match|all_injuries_scope_review|||||,false,likelihood_and_target_selection_pending
2,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 2,training,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,2:incidence:training:main,421,264,1594.696969697,,1594.696969697,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries_scope_review,incidence,1594.696969697,,2,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,true,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S005:multiple_rows,,count_divided_by_hours,,,,false,,,310,14,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,minor (4-7 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,hold_exposure_construction_unresolved,,421,injuryTrainingCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",sensitivity,hold,S005,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|training|all_injuries_scope_review|||||,false,likelihood_and_target_selection_pending
3,S008,S008,Amundsen - 2023 - #ReadyToPlay health problems in women's football-a two-season prospective cohort study in the Norwe.pdf,,ready-to-play-norway-women,Row 1,overall,all_injuries_scope_review,physical complaint,source_defined_threshold_unconfirmed,Female,Senior,Amateur | Professional/international,Norway,Football,health problems and injuries per 1000 hours of football exposure; illness incidence per player per 365 days,days lost per 1000 hours of exposure,hours,source construction requires review,"[2026-07-27] Source-family overlap treatment, 27 July 2026: S008 owns the 2020-2021 Norwegian women’s cohort denominator. || [2026-03-09] Median time-loss was reported instead of mean days","source CSV: injuryTimeLossCount, injuryIncidenceTimeLossOverall, totalExposure",,3:incidence:overall:main,440,66234,6.6,6.6,6.6431138086,,,injuryTimeLossCount,injuryIncidenceTimeLossOverall,,,,,,,all_injuries_scope_review,incidence,6.6,,3,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,false,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S008:existing_source_family_policy,,,,,,false,,,294,11,2020 and 2021 seasons,,2,prospective cohort,,,,Physical complaints/all complaints,physical complaint,,Medical Staff & Player Reported,,number of days lost from football training or match play,thigh,muscle injury,,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,anchor,Full cohort source.,supported_all_injury_scope,,440,injuryTimeLossCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,"cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | source_method_flag:Methods assign median time loss to unresolved problems, estimate unresolved ACL durations from four previous cases, and impute seven days per week during the nine-week recording break. The 8749-day total is not verified actual-only. | time_loss_outcome_alignment_review",,,,,,hold,"The saved source wording does not identify a separable time-loss outcome. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTimeLossCount, injuryIncidenceTimeLossOverall, totalExposure",hold,hold,ready-to-play-norway-women,Held because the final alignment record does not support this source metric or threshold route.,source-family-decision-ledger-2026-07-27.json family=ready-to-play-norway-women; studyId=S008; Full cohort source.; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|overall|all_injuries_scope_review|||||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,match,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,"source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,4:incidence:match:main,682,30878,22.4,22.4,22.0869227282,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries_scope_review,incidence,22.4,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,true,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S009:multiple_rows,,,,,,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,682,injuryMatchCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review | count_rate_disagreement,,,,,,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved source context flags a numerator, days or denominator mismatch for this metric.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",sensitivity,hold,S009,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|match|all_injuries_scope_review|||||,false,likelihood_and_target_selection_pending
5,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 2,match,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Female,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,"source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,5:incidence:match:main,105,7540,14.9,14.9,13.925729443,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries_scope_review,incidence,14.9,,5,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,true,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S009:multiple_rows,,,,,,false,23,,154,5,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,105,injuryMatchCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review | count_rate_disagreement,,,,,,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved source context flags a numerator, days or denominator mismatch for this metric.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",sensitivity,hold,S009,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|match|all_injuries_scope_review|||||,false,likelihood_and_target_selection_pending
6,S010,S010,Junge - 2015 - Football injuries during the 2014 FIFA World Cup..pdf,,S010,Row 1,overall,concussion_scope_review,any musculoskeletal complaint (including concussion) incurred during a match that received medical attention from the team physician regardless of absence from match or training,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Brazil,Football,injuries per 1000 player-hours and per match,,hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): tournament anchor for the 2014 FIFA World Cup. This paper owns that tournament denominator and remains included in the default analysis export. No screening state, extraction status, assignment or extracted value was changed. || [2026-03-09] FIFA","source CSV: injuryTimeLossCount, injuryIncidenceTimeLossOverall, totalExposure",,6:incidence:overall:main,60,2046,29.3,29.3,29.3255131965,,,injuryTimeLossCount,injuryIncidenceTimeLossOverall,,,concussion,,,,concussion_scope_review,incidence,29.3,,6,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_specific_evidence_gap,false,false,not_yet_classified,false,reviewed_see_alignment_decision,hold,hold,S010:existing_source_family_policy,,,,,,false,,,736,32,2014 FIFA World Cup (12 June 2014 to 13 July 2014),,1 tournament,prospective cohort,,,,Other,any musculoskeletal complaint (including concussion) incurred during a match that received medical attention from the team physician regardless of absence from match or training,,chief physicians of participating teams,,estimated duration of absence from sport,thigh,contusion,thigh strain,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_restricted_scope,,60,injuryTimeLossCount,,,analysis-source-context.csv,sourceDataRow,concussion_scope_review,,,concussion,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,hold,"The saved source wording does not identify a separable time-loss outcome. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTimeLossCount, injuryIncidenceTimeLossOverall, totalExposure",hold,hold,S010,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md; historical-ledger lookup found no exact current study-ID link; alignment-decisions.csv metric/threshold hold,,count_and_exposure,false,,incidence|overall|concussion_scope_review|||concussion||,false,likelihood_and_target_selection_pending
