sourceDataRow,paper_id,source_study_id,paper_title,paper_doi,cohort_family,population_label,setting,outcome_scope,time_loss_definition,time_loss_threshold,sex,age_category,playing_level,geography,discipline,source_incidence_definition,source_burden_definition,source_exposure_unit,exposure_construction,source_notes,source_evidence,rate_sd,observation_id,injury_count,exposure_player_hours,rate_per_1000_player_hours,reported_rate_per_1000,calculated_rate_per_1000,ci95_lower,ci95_upper,source_count_field,source_rate_field,injury_location,tissue_type,injury_diagnosis,onset,player_position,laterality,outcome_target,metric,incidence_per_1000_player_hours,burden_days_per_1000_player_hours,source_context_row,source_context_csv,analysis_route,primary_model_eligible,sensitivity_definition,sensitivity_estimated_exposure,sensitivity_rounded_reconstruction,scope_verification,overlap_verification,metric_alignment_verification,source_parent_id,duplicate_of,arithmetic_method,inferred_exposure_player_hours,inferred_injury_count_estimate,rounding_assumption,inference_usable_for_count_likelihood,meanAge,ageRange,sampleSizePlayers,numberOfTeams,observationDuration,dataCollectionPeriod,numberOfSeasons,studyDesign,trialArm,randomisedControlledTrial,geneticGroup,injuryDefinition,injuryDefinitionDescription,exposureDefinitionDescription,mechanismReportingDescription,recurrenceDefinitionDescription,severityDefinitionDescription,source_context_injuryMostCommonLocation,source_context_injuryMostCommonType,source_context_injuryMostCommonDiagnosis,population_role,population_partition_evidence,outcome_coverage_restriction,exposure_method_evidence,exposure_method_categories,exposure_method_details,standard_90_minute_pitch_formula,exposure_method_adjudication,exposure_method_sensitivity_only,historical_source_family_role,historical_source_family_evidence,descriptor_status,days_lost,candidate_injury_count,candidate_source_count_field,metric_correction_reason,metric_correction_evidence,release_context_csv,release_context_join_key,candidate_outcome_scope,candidate_injury_location,candidate_tissue_type,candidate_injury_diagnosis,candidate_review_flags,reported_rate_alignment,reported_time_loss_rate_per_1000,calculated_crude_count_rate_per_1000,published_rate_method,prefit_gate,alignment_decision,alignment_reason,alignment_evidence,threshold_analysis_route,overlap_selection,overlap_family,overlap_reason,overlap_evidence,selected_parent_id,sampling_information_route,reverse_exposure_supported,reverse_exposure_evidence,analysis_target_key,main_scientific_input_selected,model_readiness
66,S055,S055,Influence of preparation and football skill level on injury incidence during an amateur football tournament,,S055,Row 1,match,all_injuries,medical attention or time-loss,positive_days,Male,Senior,Amateur,12 nations,Football,The injury incidence was calculated as the number of injuries per 1000 h football exposure.,,hours,source construction requires review,,S055 Tables 1-2; tournament has no training,,66:incidence:match:main,30,251,119.5219123506,,119.5219123506,,,source_verified_positive_day_subset,,,,,,,,all_injuries,incidence,119.5219123506,,66,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S055:multiple_rows,,count_divided_by_hours,,,,false,,,65,12,1 week,,1,prospective cohort,,,,Other,medical attention or time-loss,,Player-selfreported,,,lower limb,sprains/ruptures,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,30,source_verified_positive_day_subset,,,analysis-source-context.csv,sourceDataRow,all_injuries,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper,,,,,,supported,Saved primary-source audit identifies a positive-day time-loss subset with matching player-hours. The saved extraction has an aligned count and player-hour denominator.,eligibility-audit-2026-09-12 adjudication-summary,main,select,S055,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|match|all_injuries|||||,true,likelihood_and_target_selection_pending
67,S055,S055,Influence of preparation and football skill level on injury incidence during an amateur football tournament,,S055,Row 2,match,all_injuries,medical attention or time-loss,positive_days,Male,Senior,Amateur,12 nations,Football,The injury incidence was calculated as the number of injuries per 1000 h football exposure.,,hours,source construction requires review,,S055 Tables 1-2; tournament has no training,,67:incidence:match:main,19,545.2,34.8495964784,,34.8495964784,,,source_verified_positive_day_subset,,,,,,,,all_injuries,incidence,34.8495964784,,67,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S055:multiple_rows,,count_divided_by_hours,,,,false,,,118,12,1 week,,1,prospective cohort,,,,Other,medical attention or time-loss,,Player-selfreported,,,,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,19,source_verified_positive_day_subset,,,analysis-source-context.csv,sourceDataRow,all_injuries,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper,,,,,,supported,Saved primary-source audit identifies a positive-day time-loss subset with matching player-hours. The saved extraction has an aligned count and player-hour denominator.,eligibility-audit-2026-09-12 adjudication-summary,main,select,S055,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|match|all_injuries|||||,true,likelihood_and_target_selection_pending
165,S1149,S1149,"The Football Association Injury and Illness Surveillance Study: The Incidence, Burden and Severity of Injuries and Illness in Men's and Women's International Football.",10.1007/s40279-020-01411-8,S1149,Men - senior,overall,all_injuries,time loss [>=1 day],explicit_restriction_in_source_text,Male,Senior,Professional/international | Elite/sub-elite,England,Football,per 1000 player-hours,days absent per 1000 player-hours,hours,source construction requires review,"[2026-07-08] Second-search extraction Batch 007. Source checked: full methods, Table 1, injury severity/cause/onset Tables 3-6, exposure and illness results. Four direct sex/age rows preserve the strongest reported split. No tissue/location tables were reported.","source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,165:incidence:overall:main,216,29562,7.3066774914,,7.3066774914,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,7.3066774914,,165,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S1149:multiple_rows,,count_divided_by_hours,,,,false,,,,,2012-2013 to 2019-2020 international seasons,,8,prospective cohort study,,,,Time loss,time loss [>=1 day],,team medical staff,,minor 1-7 days; moderate 8-28; severe 29-89; major >=90 days,,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,216,injuryTotalCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | time_loss_outcome_alignment_review,,,,,,supported,The saved source wording gives a time-loss restriction or threshold. The saved extraction has an aligned count and player-hour denominator.,"analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",main,select,S1149,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|overall|all_injuries|||||,true,likelihood_and_target_selection_pending
165,S1149,S1149,"The Football Association Injury and Illness Surveillance Study: The Incidence, Burden and Severity of Injuries and Illness in Men's and Women's International Football.",10.1007/s40279-020-01411-8,S1149,Men - senior,match,all_injuries,time loss [>=1 day],explicit_restriction_in_source_text,Male,Senior,Professional/international | Elite/sub-elite,England,Football,per 1000 player-hours,days absent per 1000 player-hours,hours,source construction requires review,"[2026-07-08] Second-search extraction Batch 007. Source checked: full methods, Table 1, injury severity/cause/onset Tables 3-6, exposure and illness results. Four direct sex/age rows preserve the strongest reported split. No tissue/location tables were reported.","source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,165:incidence:match:main,126,3998,31.5157578789,,31.5157578789,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries,incidence,31.5157578789,,165,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S1149:multiple_rows,,count_divided_by_hours,,,,false,,,,,2012-2013 to 2019-2020 international seasons,,8,prospective cohort study,,,,Time loss,time loss [>=1 day],,team medical staff,,minor 1-7 days; moderate 8-28; severe 29-89; major >=90 days,,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,126,injuryMatchCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | time_loss_outcome_alignment_review,,,,,,supported,The saved source wording gives a time-loss restriction or threshold. The saved extraction has an aligned count and player-hour denominator.,"analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",main,select,S1149,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|match|all_injuries|||||,true,likelihood_and_target_selection_pending
165,S1149,S1149,"The Football Association Injury and Illness Surveillance Study: The Incidence, Burden and Severity of Injuries and Illness in Men's and Women's International Football.",10.1007/s40279-020-01411-8,S1149,Men - senior,training,all_injuries,time loss [>=1 day],explicit_restriction_in_source_text,Male,Senior,Professional/international | Elite/sub-elite,England,Football,per 1000 player-hours,days absent per 1000 player-hours,hours,source construction requires review,"[2026-07-08] Second-search extraction Batch 007. Source checked: full methods, Table 1, injury severity/cause/onset Tables 3-6, exposure and illness results. Four direct sex/age rows preserve the strongest reported split. No tissue/location tables were reported.","source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,165:incidence:training:main,90,25564,3.5205758097,,3.5205758097,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,3.5205758097,,165,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S1149:multiple_rows,,count_divided_by_hours,,,,false,,,,,2012-2013 to 2019-2020 international seasons,,8,prospective cohort study,,,,Time loss,time loss [>=1 day],,team medical staff,,minor 1-7 days; moderate 8-28; severe 29-89; major >=90 days,,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,90,injuryTrainingCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | time_loss_outcome_alignment_review,,,,,,supported,The saved source wording gives a time-loss restriction or threshold. The saved extraction has an aligned count and player-hour denominator.,"analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",main,select,S1149,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|training|all_injuries|||||,true,likelihood_and_target_selection_pending
166,S1149,S1149,"The Football Association Injury and Illness Surveillance Study: The Incidence, Burden and Severity of Injuries and Illness in Men's and Women's International Football.",10.1007/s40279-020-01411-8,S1149,Men - youth,overall,all_injuries,time loss [>=1 day],explicit_restriction_in_source_text,Male,Youth,Professional/international | Elite/sub-elite,England,Football,per 1000 player-hours,days absent per 1000 player-hours,hours,source construction requires review,"[2026-07-08] Second-search extraction Batch 007. Source checked: full methods, Table 1, injury severity/cause/onset Tables 3-6, exposure and illness results. Four direct sex/age rows preserve the strongest reported split. No tissue/location tables were reported.","source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,166:incidence:overall:main,319,43764,7.2890960607,,7.2890960607,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,7.2890960607,,166,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S1149:multiple_rows,,count_divided_by_hours,,,,false,,,,,2012-2013 to 2019-2020 international seasons,,8,prospective cohort study,,,,Time loss,time loss [>=1 day],,team medical staff,,minor 1-7 days; moderate 8-28; severe 29-89; major >=90 days,,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,319,injuryTotalCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | time_loss_outcome_alignment_review,,,,,,supported,The saved source wording gives a time-loss restriction or threshold. The saved extraction has an aligned count and player-hour denominator.,"analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",main,select,S1149,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|overall|all_injuries|||||,true,likelihood_and_target_selection_pending
166,S1149,S1149,"The Football Association Injury and Illness Surveillance Study: The Incidence, Burden and Severity of Injuries and Illness in Men's and Women's International Football.",10.1007/s40279-020-01411-8,S1149,Men - youth,match,all_injuries,time loss [>=1 day],explicit_restriction_in_source_text,Male,Youth,Professional/international | Elite/sub-elite,England,Football,per 1000 player-hours,days absent per 1000 player-hours,hours,source construction requires review,"[2026-07-08] Second-search extraction Batch 007. Source checked: full methods, Table 1, injury severity/cause/onset Tables 3-6, exposure and illness results. Four direct sex/age rows preserve the strongest reported split. No tissue/location tables were reported.","source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,166:incidence:match:main,186,7012,26.5259555048,,26.5259555048,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries,incidence,26.5259555048,,166,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S1149:multiple_rows,,count_divided_by_hours,,,,false,,,,,2012-2013 to 2019-2020 international seasons,,8,prospective cohort study,,,,Time loss,time loss [>=1 day],,team medical staff,,minor 1-7 days; moderate 8-28; severe 29-89; major >=90 days,,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,186,injuryMatchCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | time_loss_outcome_alignment_review,,,,,,supported,The saved source wording gives a time-loss restriction or threshold. The saved extraction has an aligned count and player-hour denominator.,"analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",main,select,S1149,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|match|all_injuries|||||,true,likelihood_and_target_selection_pending
166,S1149,S1149,"The Football Association Injury and Illness Surveillance Study: The Incidence, Burden and Severity of Injuries and Illness in Men's and Women's International Football.",10.1007/s40279-020-01411-8,S1149,Men - youth,training,all_injuries,time loss [>=1 day],explicit_restriction_in_source_text,Male,Youth,Professional/international | Elite/sub-elite,England,Football,per 1000 player-hours,days absent per 1000 player-hours,hours,source construction requires review,"[2026-07-08] Second-search extraction Batch 007. Source checked: full methods, Table 1, injury severity/cause/onset Tables 3-6, exposure and illness results. Four direct sex/age rows preserve the strongest reported split. No tissue/location tables were reported.","source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,166:incidence:training:main,133,36752,3.6188506748,,3.6188506748,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,3.6188506748,,166,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S1149:multiple_rows,,count_divided_by_hours,,,,false,,,,,2012-2013 to 2019-2020 international seasons,,8,prospective cohort study,,,,Time loss,time loss [>=1 day],,team medical staff,,minor 1-7 days; moderate 8-28; severe 29-89; major >=90 days,,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,133,injuryTrainingCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | time_loss_outcome_alignment_review,,,,,,supported,The saved source wording gives a time-loss restriction or threshold. The saved extraction has an aligned count and player-hour denominator.,"analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",main,select,S1149,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|training|all_injuries|||||,true,likelihood_and_target_selection_pending
167,S1149,S1149,"The Football Association Injury and Illness Surveillance Study: The Incidence, Burden and Severity of Injuries and Illness in Men's and Women's International Football.",10.1007/s40279-020-01411-8,S1149,Women - senior,overall,all_injuries,time loss [>=1 day],explicit_restriction_in_source_text,Female,Senior,Professional/international | Elite/sub-elite,England,Football,per 1000 player-hours,days absent per 1000 player-hours,hours,source construction requires review,"[2026-07-08] Second-search extraction Batch 007. Source checked: full methods, Table 1, injury severity/cause/onset Tables 3-6, exposure and illness results. Four direct sex/age rows preserve the strongest reported split. No tissue/location tables were reported.","source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,167:incidence:overall:main,177,29616,5.9764991896,,5.9764991896,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,5.9764991896,,167,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S1149:multiple_rows,,count_divided_by_hours,,,,false,,,,,2012-2013 to 2019-2020 international seasons,,8,prospective cohort study,,,,Time loss,time loss [>=1 day],,team medical staff,,minor 1-7 days; moderate 8-28; severe 29-89; major >=90 days,,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,177,injuryTotalCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | time_loss_outcome_alignment_review,,,,,,supported,The saved source wording gives a time-loss restriction or threshold. The saved extraction has an aligned count and player-hour denominator.,"analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",main,select,S1149,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|overall|all_injuries|||||,true,likelihood_and_target_selection_pending
167,S1149,S1149,"The Football Association Injury and Illness Surveillance Study: The Incidence, Burden and Severity of Injuries and Illness in Men's and Women's International Football.",10.1007/s40279-020-01411-8,S1149,Women - senior,match,all_injuries,time loss [>=1 day],explicit_restriction_in_source_text,Female,Senior,Professional/international | Elite/sub-elite,England,Football,per 1000 player-hours,days absent per 1000 player-hours,hours,source construction requires review,"[2026-07-08] Second-search extraction Batch 007. Source checked: full methods, Table 1, injury severity/cause/onset Tables 3-6, exposure and illness results. Four direct sex/age rows preserve the strongest reported split. No tissue/location tables were reported.","source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,167:incidence:match:main,58,3037,19.0977938755,,19.0977938755,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries,incidence,19.0977938755,,167,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,main,false,false,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S1149:multiple_rows,,count_divided_by_hours,,,,false,,,,,2012-2013 to 2019-2020 international seasons,,8,prospective cohort study,,,,Time loss,time loss [>=1 day],,team medical staff,,minor 1-7 days; moderate 8-28; severe 29-89; major >=90 days,,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,58,injuryMatchCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | time_loss_outcome_alignment_review,,,,,,supported,The saved source wording gives a time-loss restriction or threshold. The saved extraction has an aligned count and player-hour denominator.,"analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",main,select,S1149,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|match|all_injuries|||||,true,likelihood_and_target_selection_pending
