sourceDataRow,paper_id,source_study_id,paper_title,paper_doi,cohort_family,population_label,setting,outcome_scope,time_loss_definition,time_loss_threshold,sex,age_category,playing_level,geography,discipline,source_incidence_definition,source_burden_definition,source_exposure_unit,exposure_construction,source_notes,source_evidence,rate_sd,observation_id,injury_count,exposure_player_hours,rate_per_1000_player_hours,reported_rate_per_1000,calculated_rate_per_1000,ci95_lower,ci95_upper,source_count_field,source_rate_field,injury_location,tissue_type,injury_diagnosis,onset,player_position,laterality,outcome_target,metric,incidence_per_1000_player_hours,burden_days_per_1000_player_hours,source_context_row,source_context_csv,analysis_route,primary_model_eligible,sensitivity_definition,sensitivity_estimated_exposure,sensitivity_rounded_reconstruction,scope_verification,overlap_verification,metric_alignment_verification,source_parent_id,duplicate_of,arithmetic_method,inferred_exposure_player_hours,inferred_injury_count_estimate,rounding_assumption,inference_usable_for_count_likelihood,meanAge,ageRange,sampleSizePlayers,numberOfTeams,observationDuration,dataCollectionPeriod,numberOfSeasons,studyDesign,trialArm,randomisedControlledTrial,geneticGroup,injuryDefinition,injuryDefinitionDescription,exposureDefinitionDescription,mechanismReportingDescription,recurrenceDefinitionDescription,severityDefinitionDescription,source_context_injuryMostCommonLocation,source_context_injuryMostCommonType,source_context_injuryMostCommonDiagnosis,population_role,population_partition_evidence,outcome_coverage_restriction,exposure_method_evidence,exposure_method_categories,exposure_method_details,standard_90_minute_pitch_formula,exposure_method_adjudication,exposure_method_sensitivity_only,historical_source_family_role,historical_source_family_evidence,descriptor_status,days_lost,candidate_injury_count,candidate_source_count_field,metric_correction_reason,metric_correction_evidence,release_context_csv,release_context_join_key,candidate_outcome_scope,candidate_injury_location,candidate_tissue_type,candidate_injury_diagnosis,candidate_review_flags,reported_rate_alignment,reported_time_loss_rate_per_1000,calculated_crude_count_rate_per_1000,published_rate_method,prefit_gate,alignment_decision,alignment_reason,alignment_evidence,threshold_analysis_route,overlap_selection,overlap_family,overlap_reason,overlap_evidence,selected_parent_id,sampling_information_route,reverse_exposure_supported,reverse_exposure_evidence,analysis_target_key,main_scientific_input_selected,model_readiness
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,all_injuries,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,"source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,4:incidence:overall:main,1791,198071,9.0422121361,,9.0422121361,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,9.0422121361,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,count_divided_by_hours,,,,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,1791,injuryTotalCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|overall|all_injuries|||||,false,likelihood_and_target_selection_pending
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,training,all_injuries,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,"source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,4:incidence:training:main,587,167193,3.5,3.5,3.5109125382,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,3.5,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,,,,,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,587,injuryTrainingCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|training|all_injuries|||||,false,likelihood_and_target_selection_pending
5,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 2,overall,all_injuries,time-loss,source_defined_threshold_unconfirmed,Female,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,"source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,5:incidence:overall:main,314,48404,6.4870671845,,6.4870671845,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,6.4870671845,,5,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,count_divided_by_hours,,,,false,23,,154,5,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,314,injuryTotalCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|overall|all_injuries|||||,false,likelihood_and_target_selection_pending
5,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 2,training,all_injuries,time-loss,source_defined_threshold_unconfirmed,Female,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,"source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,5:incidence:training:main,118,40864,2.9,2.9,2.8876272514,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,2.9,,5,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S009:multiple_rows,,,,,,false,23,,154,5,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,118,injuryTrainingCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",sensitivity,select,S009,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|training|all_injuries|||||,false,likelihood_and_target_selection_pending
7,S012,S012,Larruskain J. and Lekue J.A. and Diaz N. and Odriozola A. and Gil S.M.     AO  - Larruskain J. et al. - 2018 - A comparison of injuries in elite male and female football players A five-season prospective study.pdf,,S012,Row 1,overall,all_injuries,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Spain,Football,injuries per 1000 player-hours with 95% confidence intervals,days lost per 1000 hours of exposure,hours,source construction requires review,,"source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,7:incidence:overall:main,323,38878,8.31,8.31,8.3080405371,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,8.31,,7,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S012:multiple_rows,,,,,,false,,,50,1,2010-2015 seasons,,5,prospective cohort,,,,Time loss,time-loss,,Medical staff,"early 0-2 months, late 2-12 months, delayed >12 months after return to full participation","minimal 1-3 days, mild 4-7 days, moderate 8-28 days, severe >28 days",thigh,muscle,hamstring strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,323,injuryTotalCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",sensitivity,select,S012,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|overall|all_injuries|||||,false,likelihood_and_target_selection_pending
7,S012,S012,Larruskain J. and Lekue J.A. and Diaz N. and Odriozola A. and Gil S.M.     AO  - Larruskain J. et al. - 2018 - A comparison of injuries in elite male and female football players A five-season prospective study.pdf,,S012,Row 1,match,all_injuries,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Spain,Football,injuries per 1000 player-hours with 95% confidence intervals,days lost per 1000 hours of exposure,hours,source construction requires review,,"source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,7:incidence:match:main,161,5391,29.86,29.86,29.86458913,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries,incidence,29.86,,7,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S012:multiple_rows,,,,,,false,,,50,1,2010-2015 seasons,,5,prospective cohort,,,,Time loss,time-loss,,Medical staff,"early 0-2 months, late 2-12 months, delayed >12 months after return to full participation","minimal 1-3 days, mild 4-7 days, moderate 8-28 days, severe >28 days",thigh,muscle,hamstring strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,161,injuryMatchCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",sensitivity,select,S012,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|match|all_injuries|||||,false,likelihood_and_target_selection_pending
7,S012,S012,Larruskain J. and Lekue J.A. and Diaz N. and Odriozola A. and Gil S.M.     AO  - Larruskain J. et al. - 2018 - A comparison of injuries in elite male and female football players A five-season prospective study.pdf,,S012,Row 1,training,all_injuries,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Spain,Football,injuries per 1000 player-hours with 95% confidence intervals,days lost per 1000 hours of exposure,hours,source construction requires review,,"source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,7:incidence:training:main,160,33487,4.78,4.78,4.777973542,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,4.78,,7,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S012:multiple_rows,,,,,,false,,,50,1,2010-2015 seasons,,5,prospective cohort,,,,Time loss,time-loss,,Medical staff,"early 0-2 months, late 2-12 months, delayed >12 months after return to full participation","minimal 1-3 days, mild 4-7 days, moderate 8-28 days, severe >28 days",thigh,muscle,hamstring strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,160,injuryTrainingCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",sensitivity,select,S012,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|training|all_injuries|||||,false,likelihood_and_target_selection_pending
8,S012,S012,Larruskain J. and Lekue J.A. and Diaz N. and Odriozola A. and Gil S.M.     AO  - Larruskain J. et al. - 2018 - A comparison of injuries in elite male and female football players A five-season prospective study.pdf,,S012,Row 2,overall,all_injuries,time-loss,source_defined_threshold_unconfirmed,Female,Senior,Professional/international,Spain,Football,injuries per 1000 player-hours with 95% confidence intervals,days lost per 1000 hours of exposure,hours,source construction requires review,,"source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,8:incidence:overall:main,160,25394,6.3,6.3,6.300700953,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,6.3,,8,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S012:multiple_rows,,,,,,false,,,35,1,2010-2015 seasons,,5,prospective cohort,,,,Time loss,time-loss,,Medical staff,"early 0-2 months, late 2-12 months, delayed >12 months after return to full participation","minimal 1-3 days, mild 4-7 days, moderate 8-28 days, severe >28 days",thigh,muscle,quadriceps strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,160,injuryTotalCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",sensitivity,select,S012,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|overall|all_injuries|||||,false,likelihood_and_target_selection_pending
8,S012,S012,Larruskain J. and Lekue J.A. and Diaz N. and Odriozola A. and Gil S.M.     AO  - Larruskain J. et al. - 2018 - A comparison of injuries in elite male and female football players A five-season prospective study.pdf,,S012,Row 2,match,all_injuries,time-loss,source_defined_threshold_unconfirmed,Female,Senior,Professional/international,Spain,Football,injuries per 1000 player-hours with 95% confidence intervals,days lost per 1000 hours of exposure,hours,source construction requires review,,"source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,8:incidence:match:main,80,3544,22.57,22.57,22.5733634312,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries,incidence,22.57,,8,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S012:multiple_rows,,,,,,false,,,35,1,2010-2015 seasons,,5,prospective cohort,,,,Time loss,time-loss,,Medical staff,"early 0-2 months, late 2-12 months, delayed >12 months after return to full participation","minimal 1-3 days, mild 4-7 days, moderate 8-28 days, severe >28 days",thigh,muscle,quadriceps strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,80,injuryMatchCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",sensitivity,select,S012,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|match|all_injuries|||||,false,likelihood_and_target_selection_pending
8,S012,S012,Larruskain J. and Lekue J.A. and Diaz N. and Odriozola A. and Gil S.M.     AO  - Larruskain J. et al. - 2018 - A comparison of injuries in elite male and female football players A five-season prospective study.pdf,,S012,Row 2,training,all_injuries,time-loss,source_defined_threshold_unconfirmed,Female,Senior,Professional/international,Spain,Football,injuries per 1000 player-hours with 95% confidence intervals,days lost per 1000 hours of exposure,hours,source construction requires review,,"source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,8:incidence:training:main,75,21850,3.43,3.43,3.4324942792,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,3.43,,8,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,sensitivity,false,true,not_yet_classified,false,reviewed_see_alignment_decision,select,supported,S012:multiple_rows,,,,,,false,,,35,1,2010-2015 seasons,,5,prospective cohort,,,,Time loss,time-loss,,Medical staff,"early 0-2 months, late 2-12 months, delayed >12 months after return to full participation","minimal 1-3 days, mild 4-7 days, moderate 8-28 days, severe >28 days",thigh,muscle,quadriceps strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,supported_all_injury_scope,,75,injuryTrainingCount,,,analysis-source-context.csv,sourceDataRow,all_injuries_scope_review,,,,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,,,,,,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",sensitivity,select,S012,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,count_and_exposure,false,,incidence|training|all_injuries|||||,false,likelihood_and_target_selection_pending
