paper_id,sourceDataRow,main_observation_id,detailed_observation_id,metric,setting,matching_rate,title,definition,decision,title_definition_scope_evidence,evidence
S099,141,141:incidence:overall:main,141:incidence:overall:injuryLocation_position_goalkeeper_incidence,incidence,overall,0.62,The FIFA 11+ Shoulder Injury Prevention Program Was Effective in Reducing Upper Extremity Injuries Among Soccer Goalkeepers,time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S099,142,142:incidence:overall:main,142:incidence:overall:injuryLocation_position_goalkeeper_incidence,incidence,overall,1.94,The FIFA 11+ Shoulder Injury Prevention Program Was Effective in Reducing Upper Extremity Injuries Among Soccer Goalkeepers,time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1109,157,157:incidence:overall:main,157:incidence:overall:injuryLocation_lower_limb_overall_incidence,incidence,overall,8.94,"The effects of jump training on measures of physical performance, lower extremities injury incidence and burden in highly trained male soccer players.",time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1109,158,158:incidence:overall:main,158:incidence:overall:injuryLocation_lower_limb_overall_incidence,incidence,overall,2.81,"The effects of jump training on measures of physical performance, lower extremities injury incidence and burden in highly trained male soccer players.",time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1447,195,195:incidence:overall:main,195:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,3.34,Hamstring muscle injury is preceded by a short period of higher running demands in professional football players.,time loss [non-contact hamstring injury during official match; ≥7 days],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1447,195,195:incidence:overall:main,195:incidence:overall:injuryTissueType_injury_diagnosis_incidence,incidence,overall,3.34,Hamstring muscle injury is preceded by a short period of higher running demands in professional football players.,time loss [non-contact hamstring injury during official match; ≥7 days],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,240,240:incidence:overall:main,240:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,0.62,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,240,240:incidence:overall:main,240:incidence:overall:injuryTissueType_injury_diagnosis_incidence,incidence,overall,0.62,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,240,240:incidence:overall:main,240:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,0.62,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,241,241:incidence:overall:main,241:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,1.83,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
