raw_outcome_scope,outcome_scope,metric_alignment_status,observations
ACL_scope_review,ACL,supported,31
ACL_scope_review,restricted_complete_ACL_rupture_confirmed_by_MRI,supported,4
Morbus_Sever,Morbus_Sever,hold,1
all_injuries,all_injuries,hold,12
all_injuries,all_injuries,supported,6
all_injuries_scope_review,all_injuries,supported,815
all_injuries_scope_review,all_injuries_scope_review,hold,248
all_injuries_scope_review,restricted_acute_traumatic_match_injuries,supported,2
all_injuries_scope_review,restricted_match_injuries_excluding_chronic,supported,1
all_injuries_scope_review,restricted_non_contact_injuries,supported,4
all_injuries_scope_review,restricted_non_contact_injuries_during_congested_windows,supported,3
all_injuries_scope_review,restricted_physis_injury,hold,8
all_injuries_scope_review,restricted_shoulder_injury,supported,1
ankle_scope_review,ankle,supported,19
ankle_scope_review,ankle_scope_review,hold,1
ankle_scope_review,restricted_ankle,hold,4
ankle_scope_review,restricted_ankle,supported,2
concussion_scope_review,concussion,supported,2
concussion_scope_review,concussion_scope_review,hold,2
concussion_scope_review,restricted_diagnosed_sports_related_concussion,hold,1
concussion_scope_review,restricted_head_and_neck_injury,hold,1
concussion_scope_review,restricted_medically_diagnosed_concussion,hold,8
concussion_scope_review,restricted_medically_diagnosed_concussion,supported,8
concussion_scope_review,restricted_suspected_sports_related_concussion,hold,1
groin_scope_review,groin,supported,9
groin_scope_review,groin_scope_review,hold,16
groin_scope_review,restricted_groin_injury,hold,1
groin_scope_review,restricted_groin_injury,supported,3
hamstring_scope_review,hamstring,supported,16
hamstring_scope_review,hamstring_scope_review,hold,7
hamstring_scope_review,restricted_MRI_confirmed_hamstring_injury_4day_absence,supported,21
hamstring_scope_review,restricted_hamstring_injury,supported,4
hamstring_scope_review,restricted_hamstring_strain_and_groin_injuries,supported,8
hamstring_scope_review,restricted_non_contact_hamstring_injury,hold,1
hamstring_scope_review,restricted_non_contact_hamstring_injury_during_official_match,hold,1
hamstring_scope_review,restricted_non_contact_hamstring_injury_during_official_match,supported,1
hamstring_scope_review,restricted_posterior_thigh_hamstring_strain_injury,supported,12
head_neck,head_neck,supported,1
head_neck_scope_review,head_neck_scope_review,hold,2
head_neck_scope_review,restricted_match_related_head_injury,hold,1
injuryLocation_abdomen,injuryLocation_abdomen,hold,1
injuryLocation_abdomen,injuryLocation_abdomen,supported,14
injuryLocation_abdomen,restricted_acute_muscle_strain,supported,1
injuryLocation_ankle,injuryLocation_ankle,hold,23
injuryLocation_ankle,injuryLocation_ankle,supported,83
injuryLocation_ankle,restricted_ankle,hold,1
injuryLocation_ankle,restricted_ankle,supported,1
injuryLocation_ankle,restricted_lower_limb,supported,1
injuryLocation_chest,injuryLocation_chest,hold,2
injuryLocation_chest,injuryLocation_chest,supported,2
