parent_observation_id,detailed_observation_id,parent_source_row,paper_id,metric,setting,parent_numerical_route,parent_reverse_exposure_supported,parent_alignment_status,detailed_numerical_route,detailed_reverse_exposure_supported,detailed_alignment_status,parent_selection,detailed_selection,selection_rule,pair_review_locator,evidence
1007:incidence:overall:main,1007:incidence:overall:injuryTissueType_muscle_injury_incidence,1007,S561,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=1007:incidence:overall:main; detailed=1007:incidence:overall:injuryTissueType_muscle_injury_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
1007:incidence:overall:main,1007:incidence:overall:injuryTissueType_muscle_tendon_incidence,1007,S561,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=1007:incidence:overall:main; detailed=1007:incidence:overall:injuryTissueType_muscle_tendon_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
1172:incidence:overall:main,1172:incidence:overall:injuryLocation_shoulder_incidence,1172,S989,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=1172:incidence:overall:main; detailed=1172:incidence:overall:injuryLocation_shoulder_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
141:incidence:overall:main,141:incidence:overall:injuryLocation_position_goalkeeper_incidence,141,S099,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=141:incidence:overall:main; detailed=141:incidence:overall:injuryLocation_position_goalkeeper_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
142:incidence:overall:main,142:incidence:overall:injuryLocation_position_goalkeeper_incidence,142,S099,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=142:incidence:overall:main; detailed=142:incidence:overall:injuryLocation_position_goalkeeper_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
240:incidence:overall:main,240:incidence:overall:injuryLocation_thigh_incidence,240,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,duplicate,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=240:incidence:overall:main; detailed=240:incidence:overall:injuryLocation_thigh_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
240:incidence:overall:main,240:incidence:overall:injuryTissueType_injury_diagnosis_incidence,240,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,duplicate,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=240:incidence:overall:main; detailed=240:incidence:overall:injuryTissueType_injury_diagnosis_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
240:incidence:overall:main,240:incidence:overall:injuryTissueType_muscle_injury_incidence,240,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,duplicate,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=240:incidence:overall:main; detailed=240:incidence:overall:injuryTissueType_muscle_injury_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
241:incidence:overall:main,241:incidence:overall:injuryLocation_thigh_incidence,241,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=241:incidence:overall:main; detailed=241:incidence:overall:injuryLocation_thigh_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
241:incidence:overall:main,241:incidence:overall:injuryTissueType_injury_diagnosis_incidence,241,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=241:incidence:overall:main; detailed=241:incidence:overall:injuryTissueType_injury_diagnosis_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
241:incidence:overall:main,241:incidence:overall:injuryTissueType_muscle_injury_incidence,241,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=241:incidence:overall:main; detailed=241:incidence:overall:injuryTissueType_muscle_injury_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
242:incidence:overall:main,242:incidence:overall:injuryLocation_thigh_incidence,242,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=242:incidence:overall:main; detailed=242:incidence:overall:injuryLocation_thigh_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
242:incidence:overall:main,242:incidence:overall:injuryTissueType_injury_diagnosis_incidence,242,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=242:incidence:overall:main; detailed=242:incidence:overall:injuryTissueType_injury_diagnosis_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
242:incidence:overall:main,242:incidence:overall:injuryTissueType_muscle_injury_incidence,242,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=242:incidence:overall:main; detailed=242:incidence:overall:injuryTissueType_muscle_injury_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
243:incidence:overall:main,243:incidence:overall:injuryLocation_thigh_incidence,243,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=243:incidence:overall:main; detailed=243:incidence:overall:injuryLocation_thigh_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
243:incidence:overall:main,243:incidence:overall:injuryTissueType_injury_diagnosis_incidence,243,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=243:incidence:overall:main; detailed=243:incidence:overall:injuryTissueType_injury_diagnosis_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
243:incidence:overall:main,243:incidence:overall:injuryTissueType_muscle_injury_incidence,243,S1665,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=243:incidence:overall:main; detailed=243:incidence:overall:injuryTissueType_muscle_injury_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
