partition_group,paper_id,parent_source_row,parent_population,child_source_rows,child_populations,named_period_evidence,source_quantity_evidence,parent_observations,parent_duplicate_observations,parent_selected_for_unrepresented_target,selection_rule
S1665:parent:240,S1665,240,Total,241;242;243,Senior;Under 23;Under 20,1,"standardised.csv sourceDataRow 240 and child rows 241,242,243; exact fields: sampleSizePlayers,totalExposure,injuryTotalCount,injuryTimeLossCount",6,6,0,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
S2814:parent:476,S2814,476,All seasons (club),477;478,2021-2022;2022-2023,2,"standardised.csv sourceDataRow 476 and child rows 477,478; exact fields: sampleSizePlayers,totalExposure,injuryTotalCount,injuryTimeLossCount",29,3,0,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
S3337:parent:546,S3337,546,Total,547;548;549;550;551;552,U12;U13;U14;U15;U17;U19,3,"standardised.csv sourceDataRow 546 and child rows 547,548,549,550,551,552; exact fields: sampleSizePlayers,totalExposure,injuryTotalCount,injuryTimeLossCount",1,1,0,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
S3923:parent:628,S3923,628,Total,629;630;631;632;633;634;635,U14;U15;U16;U17;U18;U20;Reserve,1,"standardised.csv sourceDataRow 628 and child rows 629,630,631,632,633,634,635; exact fields: sampleSizePlayers,injuryTotalCount,injuryTimeLossCount",74,1,73,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
S407:parent:687,S407,687,Total,688;689;690;691;692,U9-11;U12-14;U15;U16;U18,period_not_reported,"standardised.csv sourceDataRow 687 and child rows 688,689,690,691,692; exact fields: sampleSizePlayers,totalExposure,injuryTotalCount",3,2,1,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
S429:parent:740,S429,740,Total,741;742,Experimental;Control,1,"standardised.csv sourceDataRow 740 and child rows 741,742; exact fields: sampleSizePlayers,totalExposure,injuryTotalCount",17,17,0,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
S4800:parent:849,S4800,849,All seasons,850;851;852;853;854;855,2013;2014;2015;2016;2017;2018,6,"standardised.csv sourceDataRow 849 and child rows 850,851,852,853,854,855; exact fields: sampleSizePlayers,totalExposure,injuryTotalCount",6,4,0,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
S5396:parent:976,S5396,976,Total women,977;978;979,Women senior;Women U20;Women U18,1,"standardised.csv sourceDataRow 976 and child rows 977,978,979; exact fields: sampleSizePlayers,totalExposure,injuryTotalCount,injuryTimeLossCount",1,1,0,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
S551:parent:994,S551,994,Total,995;996;997;998,Senior;U19;U16;U14,4,"standardised.csv sourceDataRow 994 and child rows 995,996,997,998; exact fields: totalExposure,injuryTotalCount,injuryTimeLossCount",17,15,2,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
S635:parent:1091,S635,1091,Total,1092;1093;1094,Youth sector;Spring Cup;First division,11,"standardised.csv sourceDataRow 1091 and child rows 1092,1093,1094; exact fields: sampleSizePlayers,injuryTotalCount,injuryTimeLossCount",2,0,2,"suppress parent only with complete named child final-target coverage and alignment-supported replacements; retain a supported parent when any replacement is absent, held or incompatible"
