sourceDataRow,paper_id,source_study_id,paper_title,paper_doi,cohort_family,population_label,setting,outcome_scope,time_loss_definition,time_loss_threshold,sex,age_category,playing_level,geography,discipline,source_incidence_definition,source_burden_definition,source_exposure_unit,exposure_construction,source_notes,source_evidence,rate_sd,review_flags,observation_id,injury_count,exposure_player_hours,rate_per_1000_player_hours,reported_rate_per_1000,calculated_rate_per_1000,ci95_lower,ci95_upper,source_count_field,source_rate_field,injury_location,tissue_type,injury_diagnosis,onset,player_position,laterality,outcome_target,metric,incidence_per_1000_player_hours,burden_days_per_1000_player_hours,source_context_row,source_context_csv,analysis_route,primary_model_eligible,sensitivity_definition,sensitivity_estimated_exposure,sensitivity_rounded_reconstruction,scope_verification,overlap_verification,metric_alignment_verification,source_parent_id,duplicate_of,arithmetic_method,inferred_exposure_player_hours,inferred_injury_count_estimate,rounding_assumption,inference_usable_for_count_likelihood,meanAge,ageRange,sampleSizePlayers,numberOfTeams,observationDuration,dataCollectionPeriod,numberOfSeasons,studyDesign,trialArm,randomisedControlledTrial,geneticGroup,injuryDefinition,injuryDefinitionDescription,exposureDefinitionDescription,mechanismReportingDescription,recurrenceDefinitionDescription,severityDefinitionDescription,source_context_injuryMostCommonLocation,source_context_injuryMostCommonType,source_context_injuryMostCommonDiagnosis,population_role,population_partition_evidence,outcome_coverage_restriction,exposure_method_evidence,exposure_method_categories,exposure_method_details,standard_90_minute_pitch_formula,exposure_method_adjudication,exposure_method_sensitivity_only,historical_source_family_role,historical_source_family_evidence,descriptor_status,days_lost
1,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 1,overall,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,1:incidence:overall:main,236,237,995.7805907173,,995.7805907173,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,995.7805907173,,1,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,multiple_rows_same_paper_relation_unresolved,pending,S005:multiple_rows,,count_divided_by_hours,,,,false,,,180,12,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,slight (1-3 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
1,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 1,match,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,1:incidence:match:main,137,55,2490.9090909091,,2490.9090909091,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries,incidence,2490.9090909091,,1,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,multiple_rows_same_paper_relation_unresolved,pending,S005:multiple_rows,,count_divided_by_hours,,,,false,,,180,12,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,slight (1-3 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
1,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 1,training,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,1:incidence:training:main,99,182,543.956043956,,543.956043956,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,543.956043956,,1,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,multiple_rows_same_paper_relation_unresolved,pending,S005:multiple_rows,,count_divided_by_hours,,,,false,,,180,12,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,slight (1-3 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
2,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 2,overall,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,2:incidence:overall:main,715,301,2375.415282392,,2375.415282392,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,2375.415282392,,2,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,multiple_rows_same_paper_relation_unresolved,pending,S005:multiple_rows,,count_divided_by_hours,,,,false,,,310,14,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,minor (4-7 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
2,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 2,match,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,2:incidence:match:main,294,37,7945.9459459459,,7945.9459459459,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries,incidence,7945.9459459459,,2,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,multiple_rows_same_paper_relation_unresolved,pending,S005:multiple_rows,,count_divided_by_hours,,,,false,,,310,14,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,minor (4-7 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
2,S005,S005,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,,S005,Row 2,training,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Senior,Elite/sub-elite,Sweden,Football,"all injuries per 1000 hours of football (training + matches), as well as for injuries per 1000 hours of training and matches separately",,hours,source construction requires review,,"source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,2:incidence:training:main,421,264,1594.696969697,,1594.696969697,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,1594.696969697,,2,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,multiple_rows_same_paper_relation_unresolved,pending,S005:multiple_rows,,count_divided_by_hours,,,,false,,,310,14,January to October,,2,prospective cohort,,,,Time loss,time-loss,,Medical Staff,an identical injury of the same type and location within two months of the final rehabilitation day of the previous injury,minor (4-7 days),,,,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
3,S008,S008,Amundsen - 2023 - #ReadyToPlay health problems in women's football-a two-season prospective cohort study in the Norwe.pdf,,ready-to-play-norway-women,Row 1,overall,all_injuries_scope_review,physical complaint,source_defined_threshold_unconfirmed,Female,Senior,Amateur | Professional/international,Norway,Football,health problems and injuries per 1000 hours of football exposure; illness incidence per player per 365 days,days lost per 1000 hours of exposure,hours,source construction requires review,"[2026-07-27] Source-family overlap treatment, 27 July 2026: S008 owns the 2020-2021 Norwegian women’s cohort denominator. || [2026-03-09] Median time-loss was reported instead of mean days","source CSV: injuryTimeLossCount, injuryIncidenceTimeLossOverall, totalExposure",,"cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | source_method_flag:Methods assign median time loss to unresolved problems, estimate unresolved ACL durations from four previous cases, and impute seven days per week during the nine-week recording break. The 8749-day total is not verified actual-only. | time_loss_outcome_alignment_review",3:incidence:overall:main,440,66234,6.6,6.6,6.6431138086,,,injuryTimeLossCount,injuryIncidenceTimeLossOverall,,,,,,,all_injuries,incidence,6.6,,3,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,existing_source_family_policy_applies | historical_family_policy_requires_current_outcome_mapping,pending,S008:existing_source_family_policy,,,,,,false,,,294,11,2020 and 2021 seasons,,2,prospective cohort,,,,Physical complaints/all complaints,physical complaint,,Medical Staff & Player Reported,,number of days lost from football training or match play,thigh,muscle injury,,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,anchor,Full cohort source.,,
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,overall,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,"source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,4:incidence:overall:main,1791,198071,9.0422121361,,9.0422121361,,,injuryTotalCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,9.0422121361,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,multiple_rows_same_paper_relation_unresolved,pending,S009:multiple_rows,,count_divided_by_hours,,,,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,match,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,"source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review | count_rate_disagreement,4:incidence:match:main,682,30878,22.4,22.4,22.0869227282,,,injuryMatchCount,injuryIncidenceMatch,,,,,,,all_injuries,incidence,22.4,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,multiple_rows_same_paper_relation_unresolved,pending,S009:multiple_rows,,,,,,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
4,S009,S009,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,,S009,Row 1,training,all_injuries_scope_review,time-loss,source_defined_threshold_unconfirmed,Male,Adult,Professional/international,"Sweden, Netherlands, Finland, Switzerland, Ireland, Norway, Scotland, Austria",Football,injuries per 1000 player hours,,hours,source construction requires review,,"source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,cohort_overlap_review | outcome_scope_review | multiple_rows_same_paper | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,4:incidence:training:main,587,167193,3.5,3.5,3.5109125382,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,3.5,,4,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,multiple_rows_same_paper_relation_unresolved,pending,S009:multiple_rows,,,,,,false,25,,613,15,Feb 2003 to Oct 2008 (up to 59 months),,varies by team (4-58 months),prospective cohort,,,,Time loss,time-loss,,Medical Staff,Injury of same type and at same site as index injury occurring within 2 months after return to full participation,"slight (<1 day), minimal (1-3 days), mild (4-7 days), moderate (8-28 days), severe (>28 days)",thigh,strain,thigh strain,unclassified_row,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
